WRITTEN AND DEVELOPED BY,ESCRITO E DESENVOLVIDO POR
PUBLISHED BY,PUBLICADO POR
WITH FINANCIAL SUPPORT FROM,COM O APOIO FINANCEIRO DE
PRODUCED BY,PRODUZIDO POR
ART,ARTE
KEY ART,ARTE PRINCIPAL
MUSIC,MUSICA
SOUND FX,EFEITOS DE SOM
ADDITIONAL WRITING,ROTEIRO ADICIONAL
ADDITIONAL CODIING,CODIFICACAO ADICIONAL
A special thanks to NAIVE,Um agradecimento especial para NAIVE
for their work on,pelo trabalho em
the Skald Trailer,o Trailer de Skald
A special thanks to ARTISTRY,Um agradecimento especial para ARTISTRY
the Launch Trailer,o Trailer de Lancamento
CROWDFUNDERS,APOIADORES
DARK LORD TIER,NIVEL SENHOR DAS TREVAS
DEITY TIER,NIVEL DIVINDADE
IMPERATOR TIER,NIVEL IMPERADOR
HIGH WIZARD TIER,NIVEL ALTO MAGO
KNIGHT TIER,NIVEL CAVALEIRO
Workshop,Oficina
Special Mention,Mencao Especial
General Manager,Gerente Geral
Head of Business Development,Chefe de Desenvolvimento de Negocios
Senior Business Development Manager,Gerente Senior de Desenvolvimento de Negocios
Director of Quality Assurance,Diretor de Garantia de Qualidade
QA Operations Manager,Gerente de Operacoes de QA
Lead QA Project Manager,Gerente de Projeto Lider de QA
QA Lab Managers,Gerentes de Laboratorio de QA
Learning & Development Manager,Gerente de Aprendizado e Desenvolvimento
Learning & Development Coordinator,Coordenador de Aprendizado e Desenvolvimento
Learning & Development Specialists,Especialistas em Aprendizado e Desenvolvimento
QA Team Leader,Lider de Equipe de QA
QA Testers,Testadores de QA
IT Director,Diretor de TI
